순위,제목,가수,앨범명,좋아요 수
1위,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),봄여름가을겨울 (Still Life),"239,604"
2위,LOVE DIVE,IVE (아이브),LOVE DIVE,"91,073"
3위,TOMBOY,(여자)아이들,I NEVER DIE,"145,213"
4위,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙),"85,631"
5위,Feel My Rhythm,Red Velvet (레드벨벳),‘The ReVe Festival 2022 - Feel My Rhythm’,"112,644"
6위,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,"152,012"
7위,GANADARA (Feat. 아이유),박재범,GANADARA,"103,530"
8위,LOVE me,BE'O (비오),LOVE me,"40,269"
9위,취중고백,김민석 (멜로망스),취중고백,"110,457"
10위,우리들의 블루스,임영웅,IM HERO,"41,049"
11위,INVU,태연 (TAEYEON),INVU - The 3rd Album,"104,895"
12위,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡,"151,246"
13위,듣고 싶을까,MSG워너비(M.O.M),듣고 싶을까,"57,755"
14위,다시 사랑한다면 (김필 Ver.),임영웅,사랑의 콜센타 PART56,"47,290"
15위,ELEVEN,IVE (아이브),ELEVEN,"124,885"
16위,그대라는 사치,임영웅,사랑의 콜센타 PART62,"41,857"
17위,다정히 내 이름을 부르면,경서예지,다정히 내 이름을 부르면 (경서예지 x 전건호),"126,947"
18위,별빛 같은 나의 사랑아,임영웅,별빛 같은 나의 사랑아,"73,153"
19위,신호등,이무진,신호등,"269,637"
20위,HERO,임영웅,HERO,"73,622"
21위,끝사랑,임영웅,사랑의 콜센타 PART61,"37,527"
22위,STAY,The Kid LAROI,Stay,"215,795"
23위,SMILEY (Feat. BIBI),YENA (최예나),ˣ‿ˣ (SMiLEY),"102,854"
24위,RUN2U,STAYC(스테이씨),YOUNG-LUV.COM,"66,481"
25위,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),정이라고 하자,"34,190"
26위,언제나 사랑해,케이시 (Kassy),조영수 리메이크 프로젝트 Part.2,"44,708"
27위,MY BAG,(여자)아이들,I NEVER DIE,"39,363"
28위,Bk Love,임영웅,뽕숭아학당 PART23,"36,905"
29위,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",sokodomo,쇼미더머니 10 Episode 2,"200,717"
30위,Seoul,볼빨간사춘기,Seoul,"17,458"
31위,드라마,아이유,조각집,"124,815"
32위,Next Level,aespa,Next Level,"241,966"
33위,너를 생각해,주시크 (Joosiq),너를 생각해,"115,284"
34위,ZOOM,제시 (Jessi),ZOOM,"13,770"
35위,Dynamite,방탄소년단,Dynamite (DayTime Version),"431,695"
36위,나의 X에게,경서,나의 X에게,"12,203"
37위,strawberry moon,아이유,strawberry moon,"191,889"
38위,Weekend,태연 (TAEYEON),Weekend,"170,874"
39위,존재만으로,원슈타인,스물다섯 스물하나 OST Part 4,"52,951"
40위,Butter,방탄소년단,Butter,"268,140"
41위,리무진 (Feat. MINO) (Prod. GRAY),BE'O (비오),쇼미더머니 10 Episode 3,"173,390"
42위,Step Back,GOT the beat,Step Back,"88,434"
43위,Permission to Dance,방탄소년단,Butter / Permission to Dance,"201,245"
44위,아무래도 난,주시크 (Joosiq),아무래도 난,"23,898"
45위,Real Love,오마이걸 (OH MY GIRL),Real Love,"32,895"
46위,라일락,아이유,IU 5th Album 'LILAC',"237,578"
47위,Counting Stars (Feat. Beenzino),BE'O (비오),Counting Stars,"156,852"
48위,호랑수월가,탑현,호랑수월가,"61,130"
49위,눈이 오잖아(Feat.헤이즈),이무진,눈이 오잖아(Feat.헤이즈),"78,101"
50위,걷고 싶다,임영웅,사랑의 콜센타 PART39,"34,018"
51위,사랑인걸,한동근,사랑인걸,"21,568"
52위,바라만 본다,MSG워너비(M.O.M),MSG워너비 1집,"174,063"
53위,내가 아니라도,주호,내가 아니라도,"17,860"
54위,That's Hilarious,Charlie Puth,That's Hilarious,"29,338"
55위,봄날,방탄소년단,YOU NEVER WALK ALONE,"558,342"
56위,"스물다섯, 스물하나",자우림,"Goodbye, grief.","179,011"
57위,Savage,aespa,Savage - The 1st Mini Album,"145,608"
58위,어제처럼,폴킴,어제처럼,"33,460"
59위,OHAYO MY NIGHT,디핵 (D-Hack),OHAYO MY NIGHT,"181,189"
