id,uuid,category,muscles,equipment,images,ex_id,ex_name,description
9,1b020b3a-3732-4c7e-92fd-a0cec90ed69b,Abs,[],Kettlebell,[],345,2 Handed Kettlebell Swing,<p>Two Handed Russian Style Kettlebell swing</p>
12,53906cd1-61f1-4d56-ac60-e4fcc5824861,Legs,Glutes,[],[],975,45 Degree Glute Emphasis Hyper Extension,"<p>(if bodyweight is easy, add weight by holding a plate across your chest)</p>"
13,49859097-644a-417a-8cb7-491b7d8bc383,Legs,[],[],[],223,Adduktoren Maschine,<p>Oberschenkel Innenseite!</p>
20,f24cb758-9c0d-42d4-ad9e-6025c527dd13,Shoulders,[],Dumbbell,[],228,Arnold Press,"<p>Zwei Kurzhanteln mit den Handflächen nach innen vor der Brust halten, Ellbogen unterhalb der Handgelenke.</p>
<p>Ellbogen nach außen bringen und Hanteln über den Kopf heben. Drehung kommt aus dem Ellbogen, nicht aus den Armen!</p>
<p>Wenn die Arme durchgestreckt sind, die gleiche Bewegung rückwärts ausführen.</p>"
22,80d6017d-58a1-4061-8fa2-0d08b9886523,Legs,Quads,[],[],353,Asai Squad,"<ol>
<li>single leg sit and stand</li>
</ol>"
25,1954e304-78e7-48eb-8112-8bb7ee06eae6,Arms,Triceps,[],[],135,"Ausfallschritt Trizepsdrücken ü. Kopf, ß-Stange",
31,f2733700-aa5d-4df7-bc52-1876ab4fb479,Arms,[],Dumbbell,[],289,Axe Hold,<p>Grab dumbbells and extend arms to side and hold as long as you can</p>
34,2d806ebb-9aa3-449b-9056-218f5bbbc7f8,Legs,[],[],[],637,Back Squat,"<p>Place a barbell in a rack just below shoulder-height. Dip under the bar to put it behind the neck across the top of the back, and grip the bar with the hands wider than shoulder-width apart. Lift the chest up and squeeze the shoulder blades together to keep the straight back throughout the entire movement. Stand up to bring the bar off the rack and step backwards, then place the feet so that they are a little wider than shoulder-width apart. Sit back into hips and keep the back straight and the chest up, squatting down so the hips are below the knees. From the bottom of the squat, press feet into the ground and push hips forward to return to the top of the standing position.</p>"
41,a6bced3c-72f5-42a3-9438-5569d46f49fd,Abs,,Barbell,[],343,Barbell Ab Rollout,"<p>Place a barbell on the floor at your feet.</p>
<p>Bending at the waist, grip the barbell with a shoulder with overhand grip.</p>
<p>With a slow controlled motion, roll the bar out so that your back is straight.</p>
<p>Roll back up raising your hips and butt as you return to the starting position.</p>"
43,dae6f6ed-9408-4e62-a59a-1a33f4e8ab36,Legs,[],Barbell,[],407,Barbell Hack Squats,<p>Perform leg squats with barbell behind your legs</p>
46,04e7d7e4-f8d2-406d-97df-3df3bceec22c,Legs,Quads,Barbell,[],405,Barbell Lunges,"<p>Put barbell on the back of your shoulders. Stand upright, then take the first step forward. Step should bring you forward so that your supporting legs knee can touch the floor. Then stand back up and repeat with the other leg.</p>
<p>Remember to keep good posture.</p>"
48,67c26c9b-32f3-4b8b-b13a-4d8be4803975,Arms,[],Barbell,[],759,Barbell Reverse Wrist Curl,"<p>Sitting on a bench, grab a barbell with your palms facing down and your hands shoulder-width apart. Rest your forearms on your thighs and allow your wrists to hang over your knees.</p>
<p>Curl your knuckles towards your face, lifting the barbell. Pause for a moment in the top position, then slowly return the barbell to the starting position.</p>"
50,13234b53-ea0c-41f1-9069-776865ea8eff,Arms,Triceps,Barbell,[],344,Barbell Triceps Extension,"<p>Position barbell overhead with narrow overhand grip.</p>
<p>Lower forearm behind upper arm with elbows remaining overhead. Extend forearm overhead. Lower and repeat.</p>"
51,cfb6a754-57be-431b-b8d0-d9963120bd5a,Arms,[],Barbell,[],758,Barbell Wrist Curl,"<p>Sitting on a bench, grab a barbell with your palms facing up and your hands shoulder-width apart. Rest your forearms on your thighs and allow your wrists to hang over your knees. Perform the movement by curling your palms and wrists towards your face.</p>
<p>Pause for a moment in the top position, then slowly return the barbell to the starting position.</p>
<p> </p>"
56,03db11cc-8079-463c-9399-6f346b100ce6,Abs,Abs,Gym mat,[],259,Bauch Stabilisation,<p>Auf Rolle liegend</p>
