폰모델 제목,가격,등록시간,내용
#당일발송# 갤럭시S9 64G 등급별 중고폰 공기계 !,"159,000",1년 전,"✔구매 전 10000 개가 넘는 실제 구매후기를 확인해주세요. ✔[쿠팡/네이버/옥션/G마켓/위메프/티몬]등✔번개장터 최초 무상 제품 보증 100일 보장해드립니다.✔매달 진행하는 이벤트를 꼭 확인해주세요. ★ 번개장터 구매고객 특별이벤트 ★🔴구입후 중고폰 100일 제품 보증🔴최고급 사은품 무료 증정🔴구매 전 실제 구매후기를 확인해주세요(번개장터 고객만족도 1위!)🔴출고전 전문엔지니어가 중고폰의 10개 주요항목 정밀 검수후 출고!🔴코로나 시대 소독 세척 실시!💟후기 이벤트[후기작성을 약속해 주세용!!]💟💟최고급 10종 사은품 증정  이벤트   💟                  [최고급케이스+최고급유리필름+충전기+유심핀+그립톡+무선충전패드+카드수납포켓+키링+제품 보증100일+무료배송)]💟    갤럭시 S9    💟💟⭕️SS급 : 64G - 18.9만원[새폰처럼 보이는 magic!]⭕️S급 : 64G -17.5만원[완전 깨끗한 s급!]⭕️A급 : 64G - 15.9만원      [사용감있지만 기능&가성비 최고!]⭕️ B급 :  64G - 재고없음[ 전체적인 중고감 & 액정에 잔상및 기스가 있는 제품]🔎 상품상세 🔎•색상 : 블랙,레드,골드,퍼플,블루,블루•기가수 :  64G•구성 : 휴대폰•통신사 : SKT/KT/LGU+3사 유심변경가능(사용하던 유심 바로 꽂아 사용가능)•정상해지/확정기변/25%약정할인가능 🔻 거래방법 🔻⚡ 택배거래  가능  ⚡⚡ 퀵 서비스 가능  ⚡⚡ 직거래      가능  ⚡📦 택배거래 📦당사는 로젠택배를 통하여매일 PM 19:00 배송 나갑니다 18:00 시전으로 구매확정 하시면 당일배송출발택배비 지원해드립니다~📞 직거래 📞직거래위치는 강남구청역 입니다 매장방문은 2번출구 바로 뒷편 건물 10층지번주소: 강남구 논현동 241-7 10층(방문전📞)★ 직거래 구매시 매장 방문 시간은 ★     평일:오전 11:00시부터~오후9시      주말:오후 13:00시부터~오후8시                   ⚠️ 필독사항 ⚠️✔️ 상담주실때 캡쳐/사진 주시면 빠른상담가능✔️ 기능상 문제가 아닌, 단순변심으로는       교환&환불 절대 불가합니다.✔️ 정품만을 취급하며 정품아닐시 100% 환불 해드립니다✔️ 무상 A/S는 액정파손/배터리/침수/본인과실은 불가합니다     ✔️ 분실/도난은 절대 판매 및 취급 하지 않습니다★ ★ ★ ★ 사용하시던 중고핸드폰 번개장터 최고가격으로 매입해드립니다 ★ ★ ★ ★"
갤럭시 S10 화이트 128g,"280,000",1시간 전,갤럭시 s10 128gb 화이트 모델입니다.액정상태 최상이고 테두리찍힘이나 까임 없는S급입니다. 기기단품입니다
아이폰11프로 256 그린 배성100팝니다,"550,000",1시간 전,"사은품 대량증정!!후기 별다섯개 남겨주시면 5천원 할인!!3사호환가능 유심만끼시면됩니다~기능 검수 완료 문제있을시 3일이내 환불가능코로나로인한 소독완료!알뜰유심가능정상해지완료외관:상태좋습니다 액정 생활기스있고  사진보시면 액정화면하단에 잔상같은게있는데 그거땜에 상태 배성대시 가격내렸습니다   쓰시는데 전혀문제없고 잘사용했구요 터치 다른곳 다완벽하게 잘됩니다.구성품 : 사은품증정!!배터리성능:100%교신안합니다.택배비 제가부담합니다.직거래시 서면역---------------------------------------그외 깨끗한 중고폰 정말많습니다.기능은 당연히 정상만 판매합니다외관별 가격이다르니혹시 다른기종이라도 필요하신게 있으시면기종 외관 색상  문의주세요!▶등급안내""정말 새폰같아요 SS급"" ""너무 깨끗해요 S급""""많이 선호해요 A급""""사용감 있어요 B급""""서브폰으로 사용하기 좋아요 C급""안심하시고 구매하셔도 됩니다. 해외에서도 사용 가능하고, 국내에서도 유심 장착 후 바로 사용 가능합니다."
68489 아이폰11 퍼플 128GB 배터리95% 47만원 울산중고폰,"470,000",1시간 전,"​​<울산 중고폰 최저가 판매>중고나라 제휴파트너 울산 중고폰언니 삼산점 입니다.​제품정보모델명/색상/용량 : 아이폰11 퍼플 128GB​( SK / KT / LG / 알뜰폰 모두 유심만 꽂으시면 사용가능)​가격 : 47만원.(계좌이체 특별가격)​​제품설명​바디테두리 흠집/전면생활감/카메라 미세한 멍 외에 다른 큰흠집없이깨끗한 기기이며, 잔상이나 기능하자 일체없이모든기능 정상으로 작동하는 컨디션 매우 좋은 기기입니다^^.(배터리 성능 : 95%)​상품 번호 : 68489( 문의 주실때 말씀주시면 더욱 빠른 응대가 가능합니다.) ​선택약정 : 지금 받고 계시면 유심 변경시 그대로 적용 가능​​거래방식울산 남구 삼산동 직거래 가능합니다.직거래 주소 : 울산 남구 화합로 175, 1층 중고폰 언니.(업스퀘어 부근)전지역 택배 , 퀵, 탁송 거래 가능합니다.(퀵.탁송비 거리에 따라 별도 ,택배비 3000원 별도 입니다.)평일 오후5시 전, 토요일 오후2시 전에 입금해주시면, 꼼꼼하게 에어캡으로 포장하여로젠 택배로 발송하며, 당일 출고 합니다^^!​​매장 정보주소 : 울산 남구 화합로175, 1층 중고나라 남구점(중고폰 언니)"
당일발송 사은품8종 갤럭시s10 중고폰 등급별 최저가 판매!,"249,000",1시간 전,"안녕하세요 WING MOBILE입니다!오프라인 중고폰 전문 업체 운영중 믿고 거래하세요!한국어 상담/中文谘询/ENG OK!!전문 엔지니어팀이 외관&기능 정밀 검수 후 출고!••••••••••••구매 후기 이벤트 진행중••••••••••••구매 후기 작성시 사은품 8종 무료 증정!젤리케이스+보호필름+충전기+유심핀세트+그립톡+마스크+세정티슈+무료배송(한정수량으로 제공되며 조기 소진될 수 있습니다. 이벤트에 참여시 문의해주세요!) ••••••••••••거래 방법••••••••••••직거래: 동대문역사문화공원역 5번출구 도보 3분입니다!!주소: 서울 중구 마른내로 155 광희동금호트윈오피스텔 2동 901호 (방문전 연락주세요!) 평일: 오후 1시 ~ 오후 9시(주말/공휴일은 휴무입니다!)택배거래: 택배사: 로젠택배 평일 오후 4시 이전 주문시 당일 발송 가능 퀵거래: 접수 가능, 퀵요금 고객 부담!••••••••••••갤럭시 s10••••••••••••SS급 :  349,000원 S급 :  319,000원 A급 : 289,000원 B급 : 249,000원••••••••••••상품 상세 정보••••••••••••상품명: 갤럭시 s10용량: 256GB색상: 로얄골드,마제스틱블랙,크라운실버구성 : 휴대폰통신사 : SKT/KT/LGU+3사 유심변경가능 (사용하던 유심 바로 꽂아 사용가능)25%약정할인가능 ••••••••••••상품 등급 안내••••••••••••SS급: 사용감이 거의 없는 새폰 같은 상품! S급: 전체적으로 아주 깨끗한 상품! A급: 외관 사용감 다소 있지만 가장 많이 선호하는 등급!!B급: 외관 사용감 많고 강한 잔상이 있는 상품, 가성비짱!C급: 기능이상은 없으나 액정/LCD 파손이 있는 상품 배달/업무/게임폰 추천!!••••••••••••필독사항••••••••••••* 전문 엔지니어팀이 외관&기능 정밀 검수 후 출고!* 문의하실 때 상품번호를 알려주시면 신속한 상담 가능!* 구매일로부터 7일 이내 기능 이상이 발생 시 교환 또는 환불 가능(고객 과실에 의한 부분 제외)* 단순변심으로 인한 교환/환불 불가합니다!* 분실/도난 핸드폰은 판매하지 않습니다!* 사용하시던 중고폰 최고가로 매입해드립니다!••••••••••••연락 방법••••••••••••채팅 또는 전화/문자 상담 가능합니다!전화번호 : 01o 9976 4926궁금하신 사항이 있으시면 언제든지 연락주세요!"
Z플립3  [블랙]  59616  (S급),"650,000",3일 전,"no.59616○등급 : S급○용량 : 256GB○색상 : 블랙○최초통신사 : LG U+○최초통화일 : 21.11.23°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°●제품설명●모든 성능 및 기능 정상작동 검수 후 판매해요외관 약간 사용감 존재하는 ""S급"" 이구요잔상,번인현상없이 화면 깨끗하게 잘 나와요사진 그대로 상태고, 색상 고급스럽게 출시돼서 예뻐요SKT / KT / LG U+ 3사 통신사 전부 사용 가능하며알뜰유심, 선불유심 전부 사용 가능합니다~25% 선택약정 요금할인 가능한 기기예요~°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°●제품실사만 촬영후 업로드●모든 제품 입고후 세척후 보관●믿을수 있는 오프라인 매장 운영 전문 상점●상담시간 오전10시~새벽3시°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°■인증 포토 후기 작성시 사은품 증정■[필름,케이스,그립톡,유심핀,벌크충전기]■직거래 홍대입구역 2번출구 매장■택배가능 지방 버스퀵 가능●●당근폰의 다른 상품 둘러보기●●http://shop.bunjang.co.kr/dgphone"
갤럭시S20울트라 A급 256GB 블랙 28279,"330,000",1시간 전,"상품번호: 28279★상품문의 O1O-806 1-8026♣상점에서 판매중인 모든제품은 기능불량 없는 정상제품입니다(검수완료) ♣ ○기기단품 ○외관등급 : A급(사용감있음)○잔상: 강잔상○용량 : 256GB○색상 : 블랙○최초통신사 : KT○최초통화일 : 20.03.20○25%선택약정가능 / 공기계----------------------------------------------------●제품설명●기기상태는 사진과 동일합니다외관등급 A급 , 강잔상 기기입니다SKT / KT / LGU+ 상관없이 모든 통신사 사용 가능5G, 4G 유심, 알뜰유심,선불유심 전부 사용가능‐---------------------------------------------------☆상품문의 O1O-8061-8026◎모든 제품은 구매시 소독하여 발송합니다◎거래방식직거래:인천 주안역택배거래:평일 16:00이전 입금확인시 당일발송"
아이폰13미니 핑크128G 풀박스 배터리성능100%,"830,000",1시간 전,실사용수가 적습니다리퍼기간 22년12월23일까지 있습니다정상해지공기기 모든통신사 선택약정 가능합니다. 풀커버방탄유리와 투명케이스풀박스 미사용 그대로 다드립니다
아이폰12 퍼플256G 특S급 풀박스 판매,"880,000",1시간 전,리퍼는 만료되었지만 실사용 기간은3개월도 안됩니다. 사용감없는 새폰같은 컨디션배트리성능97% 정상해지공기기풀박스 그대로와 투명퍼플케이스 같이드립니다
z플립1 블랙 자급제폰256G 올리퍼 판매,"500,000",1시간 전,22년6월7일. 삼성센타에서액정.배터리.테두리.바깥액정 올리퍼받은상품입니다. 최초통화일22년12월26일자급제폰이라 통신사구분없이모든통신사 사용가능합니다투명방탄젤리케이스 같이 드립니다
