폰모델 제목,가격,등록시간,내용
[1207] 아이폰12프로 256기가 화이트(배터리100%),770000,2시간 전,"상품번호 [1207]
문의주실때 상품번호 말씀해주세요~

도난,분실 이력없습니다.
선택약정가능.25%요금할인 가능단말기.

통신사 구분없이 3사(SKT.KT.LG)호환가능 모델입니다.

구성품없이 기기단품입니다.
사제 충전기 챙겨드립니다~!!
기능정상.액정기스(두번째사진 참조).잔상 무.
외관은 실사사진 참조.테두리 및 뒷판 찍힘없이 A급상태예요~!
배터리효율 100%

최초통화일 : 2021.04.12

*직거래 장소는 수원,군포,의왕에서 가능하세요.

*쿨거래시 택배비 무료배송입니다~!
*배터리는 소모품이라 보증이 아니예요~!
*상세내용에 고지하지 않은 불량있을시 7일이내 반품 및 교환 가능하세요~!

가격은 77만원입니다.
네고x x x 

***-****-****"
갤럭시폴더2 32기가 블랙 A-급 판매합니다)부산중고폰 6294,70000,2시간 전,"★★제품설명 

 보시는 기종은 SK/LG/KT 3사 모두 유심만꽂아서 사용 바로가능한 제품입니다

★★【중고폰은 쓰시던 유심칩만 끼우시면 바로사용 가능합니다】

 ★★제품설명  (보시는 기종은 SK/LG/KT 3사 모두 유심만꽂아서 사용 바로가능한 제품입니다)

★★ 기 종 : 갤럭시폴더2

★★ 용 량 : 32G

★★ 색 상 : 블랙

★★ 최초통신사 : LG
  
★★ 등급 : ★ A- 급 입니다  (사진참고).★

★★ 단말기 상태 : ★ 전체적인생활기스다수있습니다 (사진참고)★

★★구성품 : 휴대폰 단품입니다

★★ 가격 : 70,000

★★ 전체기능 : 모든기능정상작동(철저한 기능검수 완료!!)

★ SS급 : 신품과같은상태(기스X찍힘X)
★  S급: 약한생활기스만있는상태입니다
★  A급: 약간의찍힘 생활기스 있는상태입니다
★  B급: 잔상,멍, 심한찍힘 액정칼기스등의상태입니다.

★ 번호 : 0  1  0 - 7  9  2  0 - 9  8  0  1 

※필독해주세요※

※구입 후 단순변심으로 인한 교환 및 환불은 불가합니다.
  (단, 기능상 이상이 있을 경우 7일이내 교환 및 환불 해드립니다.)
※모든 상품은 입고시 1차검수 출고시 2차검수 후 에 나갑니다
※당사는 중고폰 도,소매 전문으로 재고가 없을 시 가장 빠른 수급이 
  가능합니다. 찾으시는 기종이 없으실 경우 편하게 문의해주세요.
※근거리는 가능한 매장으로 오셔서 직접 기기를 확인하시고 
    구입하시는 것을 추천드립니다.
※ 분실/도난/침수폰은 절대 판매 및 취급 하지 않습니다.
※ 물건 받으시고 내용과 틀릴 경우 무조건 반품 받습니다.

▶▶수령방법◀◀
◈택배거래 : 16:30분 이전 입금 시 당일 발송
◈ 배송은 다음날 받아보실 수 있도록 최대한 빨리 배송해드리겠습니다.
◈ 퀵 서비스 가능.
◈  부산 범일역 2번출구 부근"
아이폰Se2 화이트 128기가 S급 팔아요^^,264000,2시간 전,"잔기스조차 없는 상태 최상등급 상품입니다
베터리효율90프로구요~~.
구매시 젤리범퍼케이스 강화필름 서비스 드리구요
직거래 안전거래 택배거래 다 가능합니다
모든기종 다량 보유중이니 문의 많이주세요^^"
노트10.1,50000,2시간 전,"노트 10.1 외관 깨끗하고 이상없어요
케이스  포함
앞유리 좀 깨짐 쓰는데  이상없어요  포맷 해뒀어요
액정필름 붙착되어있어요
사진 다 포함입니다"
아이폰12미니 스트랩 케이스 (+그립톡),13000,2시간 전,"구매처 https://m.smartstore.naver.com/wappen_picnic/products/5447379954?NaPm=ct%3Dksu7vqbj%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3Dc658d155f97e28d1b4ef577219b373ddbebc8ecf

사이트 가격 14,900 + 배송비 별도

기종 주문 실수로 팔아요. 😥

구매 시 핑크 그립톡도 같이 드려요.
미사용 새상품 입니다."
[1186] 리퍼폰)갤럭시노트20울트라 256기가 미스틱브론즈,590000,2시간 전,"상품번호 [1186]
문의주실때 상품번호 말씀해주세요~

도난,분실 이력없습니다.
선택약정 가능.25%요금할인 가능 단말기.

이전통신사 KT단말기입니다.
통신사 구분없이 3사(SKT.KT.LG)호환가능 모델입니다.

구성품없이 기기단품입니다.
사제 충전기 챙겨드립니다~!!
삼성A/S센터에서 액정 및 배터리 새거로 교환한 S급 리퍼폰입니다.기능정상.

최초통화일: 2020.09.28

*직거래 장소는 수원,군포,의왕에서 가능하세요.

*쿨거래시 택배비 무료배송입니다~!
*배터리는 소모품이라 보증이 아니예요~!
*상세내용에 고지하지 않은 불량있을시 7일이내 반품 및 교환 가능하세요~!

가격은 59만원입니다.
네고x x x 

***-****-****"
갤럭시노트20 울트라 A급 256GB 화이트 14633,580000,2시간 전,"상품번호: 14633
★상품문의 O1O-8061-8026
♣상점에서 판매중인 모든제품은 기능불량 없는 정상제품입니다(검수완료) ♣ 

○기기단품 
○외관등급 : A급(사용감있음)
○잔상: 무잔상
○용량 : 256GB
○색상 : 화이트
○최초통신사 : KT
○최초통화일 : 20.08.17
○25%선택약정가능 / 공기계
----------------------------------------------------
●제품설명●
기기상태는 사진과 동일합니다
외관등급 A급 , 무잔상 기기입니다
SKT / KT / LGU+ 상관없이 모든 통신사 사용 가능
5G, 4G 유심, 알뜰유심,선불유심 전부 사용가능
‐---------------------------------------------------
☆상품문의 O1O-8061-8026

◎모든 제품은 구매시 소독하여 발송합니다
◎거래방식
직거래:인천 주안역
택배거래:평일 16:00이전 입금확인시 당일발송"
2017갤럭시J7 J730 KT 골드 32GB 7만 31437 /수원,70000,2시간 전,"1.제품 > 2017갤럭시J7 J730 KT 골드 32GB 7만
2.제품번호 >> 31437 (구매시 꼭 제품번호 말씀해주세요)
3.통신사 > KT (정상해지,호환가능,25%요금할인)
4.가격 > 7만
5.특이사항 > 외관(사진첨부)/기능문제(없음)/20180723개통
5.거래방법 > 택배거래-구매자부담/기능문제없음/안전거래가능
               > 직거래((수원역 ,수원시청)) 
6.연락처 >  ***-****-****/***-****-****"
갤럭시S10 128기가 블랙 A-급 판매합니다)부산중고폰 4157,240000,2시간 전,"★★제품설명 

 보시는 기종은 SK/LG/KT 3사 모두 유심만꽂아서 사용 바로가능한 제품입니다

★★【중고폰은 쓰시던 유심칩만 끼우시면 바로사용 가능합니다】

 ★★제품설명  (보시는 기종은 SK/LG/KT 3사 모두 유심만꽂아서 사용 바로가능한 제품입니다)

★★ 기 종 : 갤럭시S10

★★ 용 량 : 128G

★★ 색 상 : 블랙

★★ 최초통신사 : KT
  
★★ 등급 : ★ A- 급 입니다  (사진참고).★

★★ 단말기 상태 : ★ 액정생활기스 테두리찍힘 있습니다 (사진참고)★

★★구성품 : 휴대폰 단품입니다

★★ 가격 : 240,000

★★ 전체기능 : 모든기능정상작동(철저한 기능검수 완료!!)

★ SS급 : 신품과같은상태(기스X찍힘X)
★  S급: 약한생활기스만있는상태입니다
★  A급: 약간의찍힘 생활기스 있는상태입니다
★  B급: 잔상,멍, 심한찍힘 액정칼기스등의상태입니다.

★ 번호 : 0  1  0 - 7  9  2  0 - 9  8  0  1 

※필독해주세요※

※구입 후 단순변심으로 인한 교환 및 환불은 불가합니다.
  (단, 기능상 이상이 있을 경우 7일이내 교환 및 환불 해드립니다.)
※모든 상품은 입고시 1차검수 출고시 2차검수 후 에 나갑니다
※당사는 중고폰 도,소매 전문으로 재고가 없을 시 가장 빠른 수급이 
  가능합니다. 찾으시는 기종이 없으실 경우 편하게 문의해주세요.
※근거리는 가능한 매장으로 오셔서 직접 기기를 확인하시고 
    구입하시는 것을 추천드립니다.
※ 분실/도난/침수폰은 절대 판매 및 취급 하지 않습니다.
※ 물건 받으시고 내용과 틀릴 경우 무조건 반품 받습니다.

▶▶수령방법◀◀
◈택배거래 : 16:30분 이전 입금 시 당일 발송
◈ 배송은 다음날 받아보실 수 있도록 최대한 빨리 배송해드리겠습니다.
◈ 퀵 서비스 가능.
◈  부산 범일역 2번출구 부근"
[1184] S급)아이폰SE2 128기가 블랙(배터리90%),240000,2시간 전,"상품번호 [1184]
문의주실때 상품번호 말씀해주세요~

도난,분실 이력없습니다.
선택약정 가능.25%요금할인 가능 단말기.

통신사 구분없이 3사(SKT.KT.LG)호환가능 모델입니다.

구성품없이 기기단품입니다.
사제 충전기 챙겨드립니다~!!
기능정상.액정깨끗.잔상 무.
외관은 실사사진 참조.S급~!!
배터리효율90%

최초통화일: 2020.07.11

*직거래 장소는 수원,군포,의왕에서 가능하세요.

*쿨거래시 택배비 무료배송입니다~!
*배터리는 소모품이라 보증이 아니예요~!
*상세내용에 고지하지 않은 불량있을시 7일이내 반품 및 교환 가능하세요~!

가격은 24만원입니다.
네고x x x 

***-****-****"
