_id,id,activity,metValue,intensityLevel,name
61732967343c73779c4208c8,co_1,conditioning exercise,2.3,2,activity promoting video game (e.g.
61732969343c73779c4208d6,co_15,conditioning exercise,2.8,2,calisthenics (e.g.
6173296d343c73779c4208ed,co_38,conditioning exercise,2.3,2,stretching
6173296d343c73779c4208ee,co_39,conditioning exercise,3.0,2,pilates
6173296d343c73779c4208f0,co_41,conditioning exercise,2.8,2,therapeutic exercise ball
6173296e343c73779c4208f1,co_42,conditioning exercise,2.8,2,upper body exercise
6173296e343c73779c4208f5,co_46,conditioning exercise,2.3,2,video exercise workouts
6173296f343c73779c4208f8,co_49,conditioning exercise,2.5,2,yoga
61732972343c73779c42090d,da_16,dancing,3.0,2,ballroom
61732974343c73779c42091c,fi_13,fishing and hunting,3.0,2,fishing
61732974343c73779c42091d,fi_14,fishing and hunting,2.3,2,fishing with a spear
61732974343c73779c42091e,fi_15,fishing and hunting,2.5,2,hunting
61732975343c73779c420922,fi_19,fishing and hunting,2.5,2,hunting large game
61732975343c73779c420924,fi_21,fishing and hunting,2.5,2,hunting
61732975343c73779c420925,fi_22,fishing and hunting,3.0,2,hunting
61732977343c73779c42092d,fi_30,fishing and hunting,2.5,2,pistol shooting or trap shooting
61732977343c73779c42092e,fi_31,fishing and hunting,2.3,2,rifle exercises
61732977343c73779c42092f,fi_32,fishing and hunting,2.5,2,rifle exercises
61732977343c73779c420931,ho_2,home activities,2.3,2,cleaning
61732978343c73779c420936,ho_7,home activities,2.5,2,mopping
61732978343c73779c420938,ho_9,home activities,2.8,2,multiple household tasks all at once
61732979343c73779c42093c,ho_13,home activities,2.3,2,dusting or polishing furniture
61732979343c73779c42093e,ho_15,home activities,2.5,2,cleaning
6173297a343c73779c420940,ho_17,home activities,2.5,2,wash dishes
6173297a343c73779c420942,ho_19,home activities,3.0,2,butchering animals
6173297a343c73779c420944,ho_21,home activities,2.3,2,cutting and smoking fish
6173297b343c73779c420948,ho_25,home activities,2.5,2,serving food
6173297b343c73779c420949,ho_26,home activities,2.5,2,cooking or food preparation
6173297b343c73779c42094a,ho_27,home activities,2.5,2,feeding household animals
6173297b343c73779c42094b,ho_28,home activities,2.5,2,putting away groceries (e.g. carrying groceries
6173297c343c73779c42094d,ho_30,home activities,3.0,2,cooking Indian bread on an outside stove
6173297c343c73779c42094e,ho_31,home activities,2.3,2,food shopping with or without a grocery cart
6173297c343c73779c42094f,ho_32,home activities,2.3,2,non-food shopping
6173297c343c73779c420952,ho_35,home activities,2.8,2,sewing with a machine
6173297d343c73779c420955,ho_38,home activities,2.3,2,laundry
6173297f343c73779c420960,ho_49,home activities,3.0,2,implied walking
6173297f343c73779c420961,ho_50,home activities,2.5,2,watering plants
6173297f343c73779c420962,ho_51,home activities,2.5,2,building a fire inside
6173297f343c73779c420966,ho_55,home activities,2.2,2,sitting
61732980343c73779c420967,ho_56,home activities,2.8,2,standing
61732980343c73779c42096a,ho_59,home activities,3.0,2,walking and carrying small child
61732980343c73779c42096b,ho_60,home activities,2.3,2,walking and carrying small child
61732981343c73779c42096d,ho_62,home activities,2.5,2,child care
61732981343c73779c42096f,ho_64,home activities,3.0,2,child care
61732981343c73779c420972,ho_67,home activities,2.5,2,sit
61732981343c73779c420973,ho_68,home activities,2.8,2,stand
61732982343c73779c420974,ho_69,home activities,3.0,2,walk/run
61732982343c73779c420978,ho_73,home activities,2.3,2,animal care
61732982343c73779c42097a,ho_75,home activities,2.3,2,elder care
61732983343c73779c42097b,ho_1,home repair,3.0,2,airplane repair
61732983343c73779c42097e,ho_4,home repair,3.0,2,carpentry
61732984343c73779c420984,ho_10,home repair,2.3,2,carpentry
61732985343c73779c42098b,ho_17,home repair,3.0,2,hammering nails
61732985343c73779c42098c,ho_18,home repair,2.5,2,home repair
61732986343c73779c420991,ho_23,home repair,3.0,2,repairing appliances
61732987343c73779c420995,ho_27,home repair,3.0,2,plumbing
61732987343c73779c420996,ho_28,home repair,3.0,2,put on and removal of tarp – sailboat
6173298c343c73779c4209ba,la_11,lawn and garden,2.8,2,driving tractor
6173298d343c73779c4209be,la_15,lawn and garden,2.3,2,gardening
6173298e343c73779c4209c3,la_20,lawn and garden,2.5,2,mowing lawn
6173298e343c73779c4209c7,la_24,lawn and garden,2.5,2,operating snow blower
6173298f343c73779c4209cf,la_32,lawn and garden,3.0,2,riding snow blower
61732991343c73779c4209d7,la_40,lawn and garden,3.0,2,walking
61732992343c73779c4209e0,la_49,lawn and garden,3.0,2,walking
61732992343c73779c4209e2,la_51,lawn and garden,3.0,2,yard work
61732993343c73779c4209e6,mi_2,miscellaneous,2.5,2,casino gambling
61732995343c73779c4209f4,mi_16,miscellaneous,2.5,2,standing
61732995343c73779c4209f6,mi_18,miscellaneous,3.0,2,sitting
61732996343c73779c4209f7,mi_19,miscellaneous,2.5,2,standing
61732996343c73779c4209fb,mi_23,miscellaneous,3.0,2,retreat/family reunion activities involving playing games with children
61732997343c73779c4209fe,mi_26,miscellaneous,2.5,2,camping involving standing
61732997343c73779c420a01,mu_2,music playing,2.3,2,cello
61732997343c73779c420a02,mu_3,music playing,2.3,2,conducting orchestra
61732997343c73779c420a03,mu_4,music playing,2.5,2,double bass
61732998343c73779c420a05,mu_6,music playing,3.0,2,drumming (e.g.
61732998343c73779c420a08,mu_9,music playing,2.3,2,piano
61732999343c73779c420a0d,mu_14,music playing,2.5,2,violin
61732999343c73779c420a10,mu_17,music playing,3.0,2,guitar
6173299a343c73779c420a14,oc_1,occupation,2.3,2,active workstation
6173299a343c73779c420a15,oc_2,occupation,3.0,2,airline flight attendant
6173299b343c73779c420a18,oc_5,occupation,2.3,2,bookbinding
6173299b343c73779c420a1b,oc_8,occupation,2.5,2,carpentry
6173299d343c73779c420a25,oc_18,occupation,2.5,2,cook
6173299d343c73779c420a27,oc_20,occupation,2.3,2,custodial work
6173299e343c73779c420a2e,oc_27,occupation,2.8,2,farming
617329a2343c73779c420a4a,oc_55,occupation,3.0,2,kitchen maid
617329a3343c73779c420a4d,oc_58,occupation,3.0,2,locksmith
617329a3343c73779c420a4e,oc_59,occupation,3.0,2,machine tooling (e.g.
617329a3343c73779c420a51,oc_62,occupation,2.8,2,manual or unskilled labor
617329a4343c73779c420a55,oc_66,occupation,2.5,2,masonry
617329a4343c73779c420a59,oc_70,occupation,2.5,2,operating heavy duty equipment
617329a5343c73779c420a5c,oc_73,occupation,3.0,2,plumbing activities
617329a5343c73779c420a5e,oc_75,occupation,2.5,2,police
617329a5343c73779c420a5f,oc_76,occupation,2.5,2,police
617329a6343c73779c420a62,oc_79,occupation,2.3,2,postal carrier
617329a7343c73779c420a6a,oc_87,occupation,2.5,2,sitting tasks
617329a7343c73779c420a6b,oc_88,occupation,2.8,2,sitting
617329a7343c73779c420a6c,oc_89,occupation,3.0,2,standing tasks
617329a8343c73779c420a6d,oc_90,occupation,3.0,2,standing
617329a8343c73779c420a73,oc_96,occupation,2.3,2,tailoring
617329a9343c73779c420a74,oc_97,occupation,2.5,2,tailoring
617329a9343c73779c420a76,oc_99,occupation,2.5,2,tailoring
617329ab343c73779c420a83,oc_112,occupation,3.0,2,walking
617329ac343c73779c420a8c,oc_121,occupation,3.0,2,working in scene shop
617329b0343c73779c420aa6,se_1,self care,2.3,2,getting ready for bed
617329b1343c73779c420aa9,se_4,self care,2.5,2,dressing
617329b1343c73779c420aae,se_9,self care,2.5,2,hairstyling
617329b2343c73779c420ab1,se_1,sexual activity,2.8,2,active
617329b4343c73779c420abf,sp_12,sports,2.5,2,billiards
617329b4343c73779c420ac0,sp_13,sports,3.0,2,bowling
617329b6343c73779c420acd,sp_26,sports,2.5,2,darts
617329b7343c73779c420ad4,sp_33,sports,2.5,2,football or baseball
617329b7343c73779c420ad5,sp_34,sports,3.0,2,frisbee playing
