id,uuid,name,exercise_base,description,category,muscles,muscles_secondary,equipment
345,c788d643-150a-4ac7-97ef-84643c6419bf,2 Handed Kettlebell Swing,9,<p>Two Handed Russian Style Kettlebell swing</p>,10,[],[],[10]
174,99881bdd-43d7-4c3b-82ed-9c187d0455b7,Abduktoren-Maschine,12,"<ul>
<li>in eine aufrechte Position setzen, bei der die Beine hüftbreit geöffnet sind</li>
<li>den Rücken, die Knie und die Oberschenkelaußenseite an die jeweiligen Polster pressen</li>
<li>mit den Händen an den Griffen festhalten</li>
<li>die Oberschenkel bis zum Anschlagpunkt der Hebelarme auseinander drücken</li>
<li>danach die Beine wieder zusammen führen</li>
<li>das Gesäß nicht vom Sitz abheben</li>
<li>beim Auseinanderdrücken der Hebelarme aus- und beim Zusammenführen einatmen</li>
</ul>",9,[8],[],[]
223,e56d0a17-b1b8-427d-991e-97c530c7db6a,Adduktoren Maschine,13,<p>Oberschenkel Innenseite!</p>,9,[],[],[]
228,880bff63-6798-4ffc-a818-b2a1ccfec0f7,Arnold Press,20,"<p>Zwei Kurzhanteln mit den Handflächen nach innen vor der Brust halten, Ellbogen unterhalb der Handgelenke.</p>
<p>Ellbogen nach außen bringen und Hanteln über den Kopf heben. Drehung kommt aus dem Ellbogen, nicht aus den Armen!</p>
<p>Wenn die Arme durchgestreckt sind, die gleiche Bewegung rückwärts ausführen.</p>",13,[],[],[3]
227,53ca25b3-61d9-4f72-bfdb-492b83484ff5,Arnold Shoulder Press,20,"<p>Very common shoulder exercise.</p>
<p> </p>
<p>As shown here: https://www.youtube.com/watch?v=vj2w851ZHRM</p>",13,[],[],[3]
353,583281c7-2362-48e7-95d5-8fd6c455e0fb,Asai Squad,22,"<ol>
<li>single leg sit and stand</li>
</ol>",9,[10],[8],[]
5,5675ae61-6597-4806-ae5c-2dda5a5ac03c,Ausfallschritte im Gehen,206,<p>.</p>,9,[10],[8],[3]
55,27301836-ed7f-4510-83e7-66c0b8041a44,Ausfallschritte Stehend,205,<p>.</p>,9,[10],[8],[3]
135,c8d08cbd-d406-4ce0-b1b9-10b236272d30,"Ausfallschritt Trizepsdrücken ü. Kopf, ß-Stange",25,,8,[5],[],[]
289,6add5973-86d0-4543-928a-6bb8b3f34efc,Axe Hold,31,<p>Grab dumbbells and extend arms to side and hold as long as you can</p>,8,[],[],[3]
677,8e9d8968-323d-468c-9174-8cf11a105fad,Axe Hold,31,<p>Nehmen Sie die Hanteln und strecken Sie die Arme zur Seite. Halten Sie sie so lange wie möglich.</p>,8,[],[],[3]
